Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,developmental_stages,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR18313232,RNA-Seq,95,232247084345,PRJNA815643,SAMN26631167,74964731700,CURIE INSTITUTE,missing,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public","8, 11, 12, 13, 14",SRX14450438,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949469,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-26T00:00:00Z,2022-03-26T01:48:00Z,1,GSM5949469,Whole embryo,SRP363793,Whole embryo
SRR18313240,RNA-Seq,95,206233462250,PRJNA815643,SAMN26631168,70180747467,CURIE INSTITUTE,missing,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1","16, 18, 20, 22",SRX14450437,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949468,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T17:27:00Z,1,GSM5949468,Whole embryo,SRP363793,Whole embryo
SRR18313233,RNA-Seq,8,19557649208,PRJNA815643,SAMN26631167,6219600357,CURIE INSTITUTE,missing,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1","8, 11, 12, 13, 14",SRX14450438,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949469,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T04:44:00Z,1,GSM5949469,Whole embryo,SRP363793,Whole embryo
SRR18313234,RNA-Seq,8,19557649208,PRJNA815643,SAMN26631167,8138395324,CURIE INSTITUTE,missing,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1","8, 11, 12, 13, 14",SRX14450438,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949469,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T09:02:00Z,1,GSM5949469,Whole embryo,SRP363793,Whole embryo
SRR18313235,RNA-Seq,14,34225886114,PRJNA815643,SAMN26631167,9257365772,CURIE INSTITUTE,missing,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1","8, 11, 12, 13, 14",SRX14450438,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949469,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T07:59:00Z,1,GSM5949469,Whole embryo,SRP363793,Whole embryo
SRR18313236,RNA-Seq,95,228790146065,PRJNA815643,SAMN26631167,74943388081,CURIE INSTITUTE,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1","8, 11, 12, 13, 14",SRX14450438,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949469,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-27T00:00:00Z,2022-03-27T17:20:00Z,1,GSM5949469,Whole embryo,SRP363793,Whole embryo
SRR18313237,RNA-Seq,8,19266538616,PRJNA815643,SAMN26631167,6129443055,CURIE INSTITUTE,missing,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1","8, 11, 12, 13, 14",SRX14450438,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949469,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T03:42:00Z,1,GSM5949469,Whole embryo,SRP363793,Whole embryo
SRR18313238,RNA-Seq,8,19266538616,PRJNA815643,SAMN26631167,7697287100,CURIE INSTITUTE,missing,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1","8, 11, 12, 13, 14",SRX14450438,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949469,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T05:28:00Z,1,GSM5949469,Whole embryo,SRP363793,Whole embryo
SRR18313239,RNA-Seq,14,33716442578,PRJNA815643,SAMN26631167,8940998417,CURIE INSTITUTE,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1","8, 11, 12, 13, 14",SRX14450438,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949469,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T05:54:00Z,1,GSM5949469,Whole embryo,SRP363793,Whole embryo
SRR18313241,RNA-Seq,8,17367028400,PRJNA815643,SAMN26631168,5914219313,CURIE INSTITUTE,missing,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public","16, 18, 20, 22",SRX14450437,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949468,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T04:18:00Z,1,GSM5949468,Whole embryo,SRP363793,Whole embryo
SRR18313242,RNA-Seq,8,17367028400,PRJNA815643,SAMN26631168,7672225797,CURIE INSTITUTE,missing,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public","16, 18, 20, 22",SRX14450437,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949468,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T04:02:00Z,1,GSM5949468,Whole embryo,SRP363793,Whole embryo
SRR18313243,RNA-Seq,14,30392299700,PRJNA815643,SAMN26631168,8933043743,CURIE INSTITUTE,missing,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public","16, 18, 20, 22",SRX14450437,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949468,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T04:40:00Z,1,GSM5949468,Whole embryo,SRP363793,Whole embryo
SRR18313244,RNA-Seq,95,206358523955,PRJNA815643,SAMN26631168,70833616147,CURIE INSTITUTE,missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1","16, 18, 20, 22",SRX14450437,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949468,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T18:35:00Z,1,GSM5949468,Whole embryo,SRP363793,Whole embryo
SRR18313245,RNA-Seq,8,17377559912,PRJNA815643,SAMN26631168,5885121015,CURIE INSTITUTE,missing,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1","16, 18, 20, 22",SRX14450437,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949468,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T04:16:00Z,1,GSM5949468,Whole embryo,SRP363793,Whole embryo
SRR18313246,RNA-Seq,8,17377559912,PRJNA815643,SAMN26631168,7403208746,CURIE INSTITUTE,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public","16, 18, 20, 22",SRX14450437,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949468,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T04:49:00Z,1,GSM5949468,Whole embryo,SRP363793,Whole embryo
SRR18313247,RNA-Seq,14,30410729846,PRJNA815643,SAMN26631168,8743017872,CURIE INSTITUTE,missing,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public","16, 18, 20, 22",SRX14450437,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM5949468,SINGLE,cDNA,TRANSCRIPTOMIC,Xenopus tropicalis,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T02:17:00Z,1,GSM5949468,Whole embryo,SRP363793,Whole embryo
