library_name,srr
Library_1,SRR7061415
Library_2,SRR7061416
Library_4,SRR7061418
Library_5,SRR7061419
Library_6,SRR7061420
Library_17,SRR7061431
Library_18,SRR7061432
Library_19,SRR7061433
Library_27,SRR7061441
Library_28,SRR7061442
Library_29,SRR7061443
Library_30,SRR7061444
Library_34,SRR7061448
Library_35,SRR7061449
Library_36,SRR7061450
Library_37,SRR7061451
Library_41,SRR7061455
Library_42,SRR7061456
Library_43,SRR7061457
Library_44,SRR7061458
Library_48,SRR7061462
Library_49,SRR7061463
Library_50,SRR7061464
Library_51,SRR7061465
Library_52,SRR7061466
Library_56,SRR7061470
Library_57,SRR7061471
Library_58,SRR7061472
Library_59,SRR7061473
Library_60,SRR7061474
Library_61,SRR7061475
